
Operator analysis
Operator                                          Tuning   Count      Time     Time/Op  Pr(accept) Smoothed_Pr(accept)
scale(clock.rates)                                0.304   688138     767887   1.12     0.2339      0.21        
epochIntercept                                    0.043   137426     712873   5.19     0.2338      0.19        
epochCoefficient                                  0.014   687900     3569364  5.19     0.2337      0.31        
scale(clock.rates.scale)                          0.907   137275     712390   5.19     0.2349      0.2         
E1.gtr.rates                                      0.079   68693      100507   1.46     0.233       0.28        
E1.frequencies                                    0.012   68643      100602   1.47     0.2338      0.2         
scale(E1.alpha)                                   0.904   69181      100405   1.45     0.2342      0.26        
E2.gtr.rates                                      0.108   68884      91017    1.32     0.2337      0.16        
E2.frequencies                                    0.015   68602      90299    1.32     0.232       0.32        
scale(E2.alpha)                                   0.848   68489      89466    1.31     0.2339      0.19        
L2.gtr.rates                                      0.107   68619      92499    1.35     0.2338      0.21        
L2.frequencies                                    0.015   69089      93195    1.35     0.2343      0.23        
scale(L2.alpha)                                   0.864   69215      92495    1.34     0.2341      0.2         
L1.gtr.rates                                      0.088   68753      96747    1.41     0.2341      0.3         
L1.frequencies                                    0.013   68730      96718    1.41     0.2338      0.19        
scale(L1.alpha)                                   0.901   68969      95456    1.38     0.2328      0.25        
scale(nodeHeights(treeModel))                     0.955   205930     1072397  5.21     0.2346      0.21        
allNus                                            0.015   206370     609592   2.95     0.2343      0.21        
subtreeSlide(treeModel)                           6.655   2060743    2143589  1.04     0.234       0.22        
Narrow Exchange(treeModel)                                2063786    1233240  0.6      0.0042      0.01        
Wide Exchange(treeModel)                                  206551     20115    0.1      0.0         0.0         
wilsonBalding(treeModel)                                  206299     40207    0.19     0.0         0.0         
scale(treeModel.rootHeight)                       0.167   206486     169732   0.82     0.2344      0.3         
uniform(nodeHeights(treeModel))                           2061140    2338524  1.13     0.1351      0.14        
scale(yule.birthRate)                             0.562   206089     42614    0.21     0.2346      0.24        

