# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Oct 21 16:01:16 CEST 2019 [seed=1571666328474]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(node1)	tmrca(node10)	tmrca(node2)	tmrca(node3)	tmrca(node4)	tmrca(node5)	tmrca(node6)	tmrca(node7)	tmrca(node8)	tmrca(node9)	yule.birthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-73582.19222021755	-13209.511222315674	-60372.68099790187	804.5669970853153	6606.002751136688	414.37883859181596	95.353656565317	426.30555562308746	550.6086933933415	572.9446531997584	581.1465630178382	662.8081441256313	786.3222525115727	795.4264085305117	26.59198777199354	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-60372.68099790187	0.0	-13202.994588926096
1000	-37836.721844471176	-92.15531476184373	-37744.56652970933	76.48367159411264	186.39939346361814	0.1885804683810319	4.462048825040167	0.284755368087154	0.6897037802378216	0.6122088699373239	1.394017763184491	1.8938935819815876	6.868559417061025	11.574198432958719	2.9617356657807936	0.40143932040004615	1.0	1.008393718428175	0.9886911381139913	0.9910532324036633	1.001433240395931	1.0104286706582395	0.2596686980329777	0.2575700280767879	0.2269824118718174	0.255778862018417	0.37966931347762317	1.0	1.0	-37744.56652970933	0.0	-86.69313139553716
2000	-34890.76731596939	-21.80929647248341	-34868.9580194969	2.2246897049981285	10.391607307173741	0.0705101124469068	1.1772884239452976	0.11277200802078557	0.1936943506809331	0.17541253258707198	0.279358752430288	0.3171272669221348	0.7411333147530392	1.0368186621972963	0.8467450682641136	0.3793123385195508	0.9948605059171911	1.008393718428175	0.9883099594583162	0.9821264504334167	1.0099921998863943	1.0163171658765064	0.2770315588373397	0.2590410017811299	0.2115628155655016	0.2523646238160288	0.28521653530439933	1.0	1.0	-34868.9580194969	0.0	-16.54380378302487
3000	-34332.475186214535	-7.675430850231963	-34324.7997553643	0.7170431590114865	4.934257678806113	0.060450287947244004	0.665060723025021	0.09078011447170033	0.13598928372421804	0.15798874186197293	0.21867887506701672	0.24338865510855295	0.3701997613254796	0.5793455827871582	0.4891853303337756	1.7833057503112741	0.9881244342202841	1.008393718428175	0.9931386310444116	0.9821264504334167	1.0099921998863943	1.0182245659873181	0.29046708148996864	0.2590410017811299	0.2018137609001135	0.248678155828788	0.4878590050647394	1.0	1.0	-34324.7997553643	0.0	-1.2791956270673055
4000	-34164.286980059755	-4.881056659295423	-34159.40592340046	0.5280177137312085	4.043049823721977	0.06799073104210834	0.49137971726988006	0.10096474087165215	0.13733325488321638	0.13443753275512632	0.19625139656205853	0.2119984872504623	0.3559649095537853	0.4493310831457706	0.37984020358402487	2.9795055167858955	1.0064304164676523	1.024161286765932	0.9965951944133884	0.9561330744450393	1.0086233758906251	1.008056652017363	0.2934691235850694	0.2529985993115424	0.19305249032070423	0.260479786782684	0.5657112969688396	1.0	1.0	-34159.40592340046	0.0	2.1465563317758334
5000	-34131.57139580872	-3.942925264816285	-34127.6284705439	0.4729823524120006	3.7571685995579926	0.06198615869145354	0.42996217979455387	0.09449795901265395	0.14126798266157634	0.12308056305233904	0.18440529102221342	0.204645884594245	0.3400929192867966	0.4262475485877155	0.34101719913495654	3.1709843303401426	1.015310351928491	1.0325608464894178	0.9984237180632399	0.9346306044565742	1.0180924228948742	1.0009820561674028	0.29330581131472333	0.2548563408028148	0.19135806109977788	0.260479786782684	0.5348359960763944	1.0	1.0	-34127.6284705439	0.0	3.08862394625789
6000	-34063.07416034739	-3.934418267982939	-34059.1397420794	0.45585139418571013	3.7551677918683257	0.06517727501792324	0.40812796551427716	0.10788185110021917	0.1493469009679868	0.12914358930263692	0.1927558331310303	0.20773348238268446	0.3441206517007075	0.4353798929394313	0.32165919422894734	3.137549042754329	1.015310351928491	1.0308301604692833	1.006853916679004	0.9279310918609445	1.0180924228948742	1.0009820561674028	0.30640013054748005	0.24144266737162373	0.18873511385306593	0.26342208822783025	0.5332819830517455	1.0	1.0	-34059.1397420794	0.0	3.082722050644085
7000	-33992.36103247286	-5.362507090030312	-33986.99852538283	0.45507334224584634	3.729565784963512	0.06575740118285178	0.4178250748229819	0.10206900960944823	0.14441397088096758	0.12748579435449306	0.18522864679274076	0.20958246469176042	0.3401650074262324	0.4127298089262987	0.3245222000037474	5.012628290511304	1.0140661466625496	1.039369859880436	1.0028143459778642	0.927120814417923	1.026809916430385	0.9898189166308419	0.3251047279395397	0.2196370293084733	0.1876519384687843	0.2676063042832027	0.5626607363288707	1.0	1.0	-33986.99852538283	0.0	2.2605580584566196
8000	-33956.51626310662	-5.0799839082189315	-33951.4362791984	0.4566062183089942	3.8140763050862447	0.06240729268200326	0.39877770723588796	0.09209297963485244	0.15289043988954587	0.1394965104007067	0.20671028569834005	0.22383844392849453	0.3637094941424145	0.44482995774929457	0.3232987302782814	4.462750782233279	1.0205551712914616	1.0523908537798086	0.9938269703701349	0.927120814417923	1.0267817172285791	0.9793244729120923	0.3435461390020401	0.21037886828711477	0.17807096109042433	0.2680040316204208	0.5753577216413137	1.0	1.0	-33951.4362791984	0.0	2.423677447917731
9000	-33948.370407274	-3.821521620226113	-33944.54888565378	0.4369045143338774	3.6906987478789706	0.06566102144664339	0.3954908180783477	0.11850242901916339	0.15518627017669234	0.11955398341516339	0.19872957203470898	0.21472426967021008	0.3411335777848925	0.4080455186255307	0.31112357210608027	3.1554292565323703	1.0178340760563895	1.0574456526510996	0.9938269703701349	0.927120814417923	1.031770008353353	0.9720024781510995	0.3435461390020401	0.20047392572266265	0.17807096109042433	0.2779089741848729	0.5788867279865157	1.0	1.0	-33944.54888565378	0.0	3.2928802488862683
